Model,Average Score,Total Time
save/lr0.01_ep10_ed0.5,11.553759681583475,12.137215614318848
save/lr0.01_ep10_ed0.8,16.084821428571438,11.230492115020752
save/lr0.01_ep20_ed0.5,74.51951357768533,22.45803189277649
save/lr0.01_ep20_ed0.8,53.81601731601732,23.760830879211426
save/lr0.001_ep10_ed0.5,34.076249999999995,11.652217149734497
save/lr0.001_ep10_ed0.8,11.579194297082228,11.280608415603638
save/lr0.001_ep20_ed0.5,24.240577245406048,22.14906620979309
save/lr0.001_ep20_ed0.8,34.03756578947369,23.981241464614868
